,Sentiment_score,Emotion,Episode,Season
rachel,0.9693,Fear,Episode-14-The One With Joey’s Dirty Day,Season-04
rachel,-0.1442,Surprise,Episode-15-The One With All The Rugby,Season-04
rachel,0.9833,Sad,Episode-16-The One With The Fake Party,Season-04
rachel,0.4215,Surprise,Episode-17-The One With The Free p0rn,Season-04
rachel,0.9665,Fear,Episode-18-The One With Rachel’s New Dress,Season-04
rachel,0.836,Fear,Episode-19-The One With All The Haste,Season-04
rachel,0.9714,Surprise,Episode-20-The One With All the Wedding Dresses,Season-04
rachel,0.9752,Surprise,Episode-21-The One With The Invitation,Season-04
rachel,0.6427,Surprise,Episode-22-The One With The Worst Best Man Ever,Season-04
rachel,-0.9042,Sad,Episode-23-04x24 - The One With Ross’s Wedding Parts I and II,Season-04
rachel,0.6429,Surprise,Episode-01-The One After Ross Says Rachel,Season-05
rachel,-0.9181,Surprise,Episode-02-The One With All The Kissing,Season-05
rachel,0.8519,Sad,Episode-03-The One Hundredth,Season-05
rachel,0.34,Surprise,Episode-04-The One Where Phoebe Hates PBS,Season-05
rachel,0.4186,Surprise,Episode-05-The One With All the Kips,Season-05
rachel,-0.7976,Surprise,Episode-06-The One With The Yeti,Season-05
rachel,0.9565,Fear,Episode-07-The One Where Ross Moves In,Season-05
rachel,0.9661,Surprise,Episode-08-The One With The Thanksgiving Flashbacks,Season-05
rachel,-0.969,Surprise,Episode-09-The One With Ross's Sandwich,Season-05
rachel,0.9501,Surprise,Episode-10-The One With The Inappropriate Sister,Season-05
rachel,0.6124,Surprise,Episode-11-The One With All The Resolutions,Season-05
rachel,0.9339,Surprise,Episode-12-The One With Chandler's Work Laugh,Season-05
rachel,0.9493,Surprise,Episode-13-The One With Joey's Bag,Season-05
rachel,0.9325,Surprise,Episode-14-The One Where Everyone Finds Out,Season-05
rachel,0.9182,Surprise,Episode-15-The One With The Girl Who Hits Joey,Season-05
rachel,0.9423,Surprise,Episode-16-The One With A Cop,Season-05
rachel,-0.4939,Fear,Episode-17-The One With Rachel's Inappropriate Kiss,Season-05
rachel,0.9849,Surprise,Episode-18-The One Where Rachel Smokes,Season-05
rachel,0.9716,Surprise,Episode-19-The One Where Ross Can't Flirt,Season-05
rachel,-0.037,Fear,Episode-20-The One With The Ride Along,Season-05
rachel,0.9756,Fear,Episode-21-The One With The Ball,Season-05
