,Sentiment_score,Emotion,Episode,Season
monica,0.9683,Surprise,episode 13,Season-03
monica,-0.5719,Surprise,episode 14,Season-03
monica,0.9317,Surprise,episode 15,Season-03
monica,0.8366,Surprise,episode 16,Season-03
monica,-0.6475,Surprise,episode 17,Season-03
monica,0.743,Fear,episode 18,Season-03
monica,0.9313,Fear,episode 19,Season-03
monica,0.1171,Fear,episode 20,Season-03
monica,0.9238,Surprise,episode 21,Season-03
monica,-0.1779,Fear,episode 22,Season-03
monica,0.8944,Surprise,episode 23,Season-03
monica,-0.6627,Surprise,episode 24,Season-03
monica,-0.1531,Fear,episode 25,Season-03
monica,0.4939,Sad,episode 01,Season-04
monica,0.9524,Fear,episode 02,Season-04
monica,0.9652,Surprise,episode 03,Season-04
monica,0.8176,Surprise,episode 04,Season-04
monica,-0.8126,Surprise,episode 05,Season-04
monica,0.9509,Fear,episode 06,Season-04
monica,0.4767,Surprise,episode 07,Season-04
monica,0.9186,Surprise,episode 08,Season-04
monica,0.9501,Fear,episode 09,Season-04
monica,0.9769,Fear,episode 10,Season-04
monica,0.868,Fear,episode 11,Season-04
monica,-0.1531,Surprise,episode 12,Season-04
monica,0.918,Surprise,episode 13,Season-04
monica,0.9038,Surprise,episode 14,Season-04
monica,-0.1779,Fear,episode 15,Season-04
monica,0.3612,Surprise,episode 16,Season-04
monica,0.9807,Fear,episode 17,Season-04
monica,-0.4588,Sad,episode 18,Season-04
monica,0.4588,Surprise,episode 19,Season-04
monica,-0.5106,Fear,episode 20,Season-04
monica,0.836,Surprise,episode 21,Season-04
monica,0.9403,Surprise,episode 22,Season-04
monica,0.9672,Fear,episode 23,Season-04
monica,0.9552,Surprise,episode 01,Season-05
monica,0.9638,Surprise,episode 02,Season-05
monica,0.9781,Surprise,episode 03,Season-05
monica,0.9627,Surprise,episode 04,Season-05
monica,0.9753,Fear,episode 05,Season-05
monica,0.9588,Fear,episode 06,Season-05
monica,0.9517,Surprise,episode 07,Season-05
monica,0.9709,Sad,episode 08,Season-05
monica,0.8066,Surprise,episode 09,Season-05
monica,0.9205,Surprise,episode 10,Season-05
monica,0.5719,Surprise,episode 11,Season-05
monica,0.5314,Surprise,episode 12,Season-05
monica,0.9409,Surprise,episode 13,Season-05
monica,0.8126,Surprise,episode 14,Season-05
monica,0.8238,Surprise,episode 15,Season-05
monica,0.128,Surprise,episode 16,Season-05
monica,0.8399,Surprise,episode 17,Season-05
monica,0.8685,Surprise,episode 18,Season-05
monica,0.9739,Sad,episode 19,Season-05
monica,0.6658,Fear,episode 20,Season-05
monica,0.8957,Sad,episode 21,Season-05
monica,0.4767,Fear,episode 22,Season-05
monica,0.9001,Fear,episode 23,Season-05
monica,-0.4588,Surprise,episode 01,Season-06
monica,-0.7363,Sad,episode 02,Season-06
monica,0.9623,Fear,episode 03,Season-06
monica,0.6908,Surprise,episode 04,Season-06
monica,0.9758,Fear,episode 05,Season-06
monica,0.4162,Surprise,episode 06,Season-06
monica,0.8555,Surprise,episode 07,Season-06
monica,0.0314,Surprise,episode 08,Season-06
monica,0.936,Surprise,episode 09,Season-06
monica,0.8187,Surprise,episode 10,Season-06
monica,0.9762,Sad,episode 11,Season-06
monica,-0.2763,Fear,episode 12,Season-06
monica,-0.9866,Sad,episode 13,Season-06
monica,-0.9518,Fear,episode 14,Season-06
monica,0.9666,Surprise,episode 15,Season-06
monica,0.9201,Surprise,episode 17,Season-06
monica,0.7579,Fear,episode 18,Season-06
monica,0.991,Surprise,episode 19,Season-06
monica,-0.5267,Sad,episode 20,Season-06
monica,0.8368,Surprise,episode 21,Season-06
monica,0.9246,Sad,episode 22,Season-06
monica,0,Angry,episode 23,Season-06
monica,0.9856,Surprise,episode 24,Season-06
monica,0.9677,Fear,episode 01,Season-07
monica,0.9627,Fear,episode 02,Season-07
monica,0.9603,Surprise,episode 03,Season-07
monica,0.8225,Surprise,episode 04,Season-07
monica,0.959,Surprise,episode 05,Season-07
monica,0.9599,Surprise,episode 06,Season-07
monica,-0.4432,Fear,episode 07,Season-07
monica,-0.34,Fear,episode 08,Season-07
monica,0.0407,Surprise,episode 09,Season-07
monica,0.3818,Fear,episode 10,Season-07
monica,0.8891,Surprise,episode 11,Season-07
monica,0.7906,Surprise,episode 12,Season-07
monica,0.5423,Surprise,episode 13,Season-07
monica,0.9553,Fear,episode 14,Season-07
monica,0.895,Surprise,episode 15,Season-07
monica,-0.4588,Surprise,episode 16,Season-07
monica,0.83,Fear,episode 17,Season-07
monica,0.959,Surprise,episode 18,Season-07
monica,0.9288,Surprise,episode 19,Season-07
monica,0.8069,Fear,episode 20,Season-07
monica,0.9465,Surprise,episode 21,Season-07
monica,0.5994,Fear,episode 22,Season-07
monica,0.9723,Surprise,episode 23,Season-07
monica,0.9698,Fear,episode 01,Season-08
monica,0.8731,Fear,episode 02,Season-08
monica,0.8402,Surprise,episode 03,Season-08
monica,0.9607,Fear,episode 04,Season-08
monica,-0.6124,Surprise,episode 05,Season-08
monica,0.9685,Surprise,episode 06,Season-08
monica,0.4767,Surprise,episode 07,Season-08
monica,-0.1531,Fear,episode 08,Season-08
monica,0.9913,Fear,episode 09,Season-08
monica,0.8891,Surprise,episode 10,Season-08
monica,-0.1027,Surprise,episode 11,Season-08
monica,-0.5267,Fear,episode 12,Season-08
monica,0.8876,Surprise,episode 13,Season-08
monica,0.0516,Fear,episode 14,Season-08
monica,0.9254,Surprise,episode 15,Season-08
monica,0.9169,Surprise,episode 16,Season-08
monica,0.4397,Surprise,episode 17,Season-08
monica,0.5423,Surprise,episode 18,Season-08
monica,0.7506,Surprise,episode 19,Season-08
monica,0.6705,Sad,episode 20,Season-08
monica,-0.9404,Sad,episode 21,Season-08
monica,0.8991,Surprise,episode 22,Season-08
monica,0.923,Surprise,episode 23,Season-08
monica,0.3818,Surprise,episode 01,Season-09
monica,0.4943,Surprise,episode 02,Season-09
monica,0.9396,Surprise,episode 03,Season-09
monica,0.5708,Surprise,episode 04,Season-09
monica,0.8492,Sad,episode 05,Season-09
monica,0.975,Surprise,episode 06,Season-09
monica,-0.6808,Fear,episode 07,Season-09
monica,0.9618,Surprise,episode 08,Season-09
monica,0.8356,Surprise,episode 09,Season-09
monica,0.9025,Surprise,episode 10,Season-09
monica,0.8912,Sad,episode 11,Season-09
monica,0.9565,Happy,episode 12,Season-09
monica,0.9197,Surprise,episode 13,Season-09
monica,-0.0772,Surprise,episode 14,Season-09
monica,0.0665,Surprise,episode 15,Season-09
monica,0.576,Fear,episode 16,Season-09
monica,0.1477,Fear,episode 17,Season-09
monica,0.9652,Surprise,episode 18,Season-09
monica,0.6786,Surprise,episode 19,Season-09
monica,-0.7003,Surprise,episode 20,Season-09
monica,0.9712,Surprise,episode 21,Season-09
monica,0.9749,Surprise,episode 22,Season-09
monica,0.7078,Surprise,episode 23,Season-09
monica,0.7579,Surprise,episode 01,Season-10
monica,0.9694,Surprise,episode 02,Season-10
monica,-0.8658,Surprise,episode 03,Season-10
monica,0.7517,Fear,episode 04,Season-10
monica,0.8885,Surprise,episode 05,Season-10
monica,-0.926,Surprise,episode 06,Season-10
monica,0.6629,Fear,episode 07,Season-10
monica,0.8235,Sad,episode 08,Season-10
monica,0.98,Surprise,episode 09,Season-10
monica,0.9811,Surprise,episode 10,Season-10
monica,-0.7674,Surprise,episode 11,Season-10
monica,0.6051,Surprise,episode 12,Season-10
monica,0.9001,Surprise,episode 13,Season-10
monica,0.9571,Sad,episode 14,Season-10
monica,0.0397,Surprise,episode 15,Season-10
chandler,0.4588,Fear,episode 01,Season-01
chandler,-0.6124,Fear,episode 02,Season-01
chandler,0.6124,Surprise,episode 03,Season-01
chandler,0.8074,Surprise,episode 04,Season-01
chandler,0.9022,Surprise,episode 05,Season-01
chandler,0.9856,Surprise,episode 06,Season-01
chandler,0.891,Fear,episode 07,Season-01
chandler,0.9648,Surprise,episode 08,Season-01
chandler,0.9784,Surprise,episode 09,Season-01
chandler,-0.5221,Surprise,episode 10,Season-01
chandler,-0.804,Surprise,episode 11,Season-01
chandler,-0.7408,Surprise,episode 12,Season-01
chandler,0.3353,Surprise,episode 13,Season-01
